web_scraper_order,web_scraper_start_url,type,prix,adresse,image
"1766924981-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Robe brodée enfant","12 000CFA","Sénégal","https://images.coinafrique.com/thumb_afrikannonce_1011523_uploaded_image1_1569956567.47.jpg"
"1766924981-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Jolies robes en wax","8 000CFA","Sénégal","https://images.coinafrique.com/thumb_afrikannonce_1011524_uploaded_image1_1569956569.73.jpg"
"1766924981-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Costume enfant","20 000CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_752448_uploaded_image1_1563350256.56.png"
"1766924981-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Blouson enfant","18 000CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_752408_uploaded_image1_1563349196.32.png"
"1766924981-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Robe pour enfant","35 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_739801_uploaded_image1_1562946241.61.png"
"1766924981-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Couches et vêtements enfants","8 000CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_735868_uploaded_image1_1562861740.96.png"
"1766924981-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Costume enfant","20 000CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_735207_uploaded_image1_1562852018.04.png"
"1766924981-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Abaya enfant 2 ans - 5 ans","18 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_727626_uploaded_image1_1562678215.71.png"
"1766924981-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Abaya enfant Spéciale Tabaski","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_725848_uploaded_image1_1562624169.32.png"
"1766924981-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724146_uploaded_image1_1562589336.01.png"
"1766924981-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724143_uploaded_image1_1562589274.19.png"
"1766924981-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724138_uploaded_image1_1562589114.05.png"
"1766924981-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724135_uploaded_image1_1562589070.16.png"
"1766924981-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724130_uploaded_image1_1562588990.25.png"
"1766924981-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724128_uploaded_image1_1562588912.66.png"
"1766924981-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724122_uploaded_image1_1562588821.84.png"
"1766924981-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724115_uploaded_image1_1562588760.4.png"
"1766924981-18","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724113_uploaded_image1_1562588710.7.png"
"1766924981-19","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724109_uploaded_image1_1562588631.85.png"
"1766924981-20","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724102_uploaded_image1_1562588582.95.png"
"1766924981-21","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724091_uploaded_image1_1562588225.16.png"
"1766924981-22","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724081_uploaded_image1_1562588040.19.png"
"1766924981-23","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenues enfant","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_724072_uploaded_image1_1562587876.78.png"
