web_scraper_order,web_scraper_start_url,image,type,prix,adresse
"1766586681-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2404255_uploaded_image1_1594078407.jpg","Chaussures Homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1766586681-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2404252_uploaded_image1_1594078317.jpg","Chaussures homme","25 000CFA","Guediawaye, Dakar, Sénégal"
"1766586681-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403907_uploaded_image1_1594072972.jpg","Babouches","Prix sur demande","Patte d'oie, Dakar, Sénégal"
"1766586681-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403902_uploaded_image1_1594072699.jpg","Chaussures hommes","15 000CFA","Dakar, Sénégal"
"1766586681-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403897_uploaded_image1_1594072584.jpg","Chaussures hommes","15 000CFA","Dakar, Sénégal"
"1766586681-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403881_uploaded_image1_1594072420.jpg","Chaussures Homme","25 000CFA","Dakar, Sénégal"
"1766586681-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403879_uploaded_image1_1594072340.jpg","Chaussures Hommes","15 000CFA","Dakar, Sénégal"
"1766586681-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403783_uploaded_image1_1594070206.jpg","Chaussures hommes","6 500CFA","Dakar, Sénégal"
"1766586681-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403616_uploaded_image1_1594067655.jpg","Chaussures Air Adidas","5 000CFA","Grand Dakar, Dakar, Sénégal"
"1766586681-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403609_uploaded_image1_1594067552.jpg","Baskets Air Zoom","15 000CFA","Grand Dakar, Dakar, Sénégal"
"1766586681-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403598_uploaded_image1_1594067476.jpg","Chaussures Tik tik","4 000CFA","Grand Dakar, Dakar, Sénégal"
"1766586681-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2401831_uploaded_image1_1594047272.jpg","Chaussures hommes","Prix sur demande","Patte d'oie, Dakar, Sénégal"
"1766586681-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2401510_uploaded_image1_1594043856.jpg","Chaussures en cuir - marron et noir","7 000CFA","Parcelle Assainies, Dakar, Sénégal"
"1766586681-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2401156_uploaded_image1_1594039890.jpg","Chaussures homme","5 000CFA","Guediawaye, Dakar, Sénégal"
"1766586681-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2401148_uploaded_image1_1594039804.jpg","Sandales homme","5 000CFA","Guediawaye, Dakar, Sénégal"
"1766586681-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2401142_uploaded_image1_1594039715.jpg","Chaussures homme","5 000CFA","Guediawaye, Dakar, Sénégal"
"1766586681-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2400735_uploaded_image1_1594034979.jpg","Baskets homme","15 000CFA","Thies, Sénégal"
"1766586681-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2400634_uploaded_image1_1594033763.jpg","Chaussures homme","Prix sur demande","Patte d'oie, Dakar, Sénégal"
"1766586681-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2400370_uploaded_image1_1594030954.jpg","Chaussures homme","16 000CFA","Dakar, Sénégal"
"1766586681-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2398700_uploaded_image1_1593993924.jpg","Chaussures homme","10 000CFA","Dakar, Sénégal"
"1766586681-21","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2398699_uploaded_image1_1593993894.jpg","Chaussures homme","10 000CFA","Dakar, Sénégal"
"1766586681-22","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2398684_uploaded_image1_1593993688.jpg","Chaussures homme","16 000CFA","Dakar, Sénégal"
"1766586681-23","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2398624_uploaded_image1_1593991841.jpg","Chaussures","Prix sur demande","Grand Dakar, Dakar, Sénégal"
"1766586681-24","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2398420_uploaded_image1_1593987726.jpg","Sandales cuir","10 000CFA","Dakar, Sénégal"
"1766586681-25","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2398418_uploaded_image1_1593987686.jpg","Sandales en cuir","10 000CFA","Dakar, Sénégal"
"1766586681-26","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2398414_uploaded_image1_1593987640.jpg","Sandales en cuir","10 000CFA","Dakar, Sénégal"
"1766586681-27","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2398411_uploaded_image1_1593987603.jpg","Sandales cuir","10 000CFA","Dakar, Sénégal"
"1766586681-28","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2397822_uploaded_image1_1593976939.jpg","Baskets Nike - originales","20 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1766586681-29","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2397766_uploaded_image1_1593976151.jpg","Chaussures homme","17 000CFA","Guediawaye, Dakar, Sénégal"
"1766586681-30","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2397761_uploaded_image1_1593976084.jpg","Chaussures homme","17 000CFA","Guediawaye, Dakar, Sénégal"
"1766586681-31","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2397752_uploaded_image1_1593976009.jpg","Chaussures Homme","17 000CFA","Guediawaye, Dakar, Sénégal"
"1766586681-32","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2397748_uploaded_image1_1593975922.jpg","Chaussures homme","17 000CFA","Guediawaye, Dakar, Sénégal"
"1766586681-33","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2396994_uploaded_image1_1593963589.jpg","Baskets Louboutin originaux","23 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1766586681-34","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2396927_uploaded_image1_1593962568.jpg","Baskets Reebok","17 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1766586681-35","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2396925_uploaded_image1_1593962505.jpg","Baskets Reebok","17 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1766586681-36","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2396921_uploaded_image1_1593962432.jpg","Baskets","20 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1766586681-37","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2396626_uploaded_image1_1593957354.jpg","Baskets Nike","15 000CFA","Dakar, Sénégal"
"1766586681-38","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2396439_uploaded_image1_1593954482.jpg","Sandales homme","Prix sur demande","Mbour, Sénégal"
"1766586681-39","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2396338_uploaded_image1_1593953221.jpg","Baskets homme","14 000CFA","Dakar, Sénégal"
"1766586681-40","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2395834_uploaded_image1_1593944572.jpg","Baskets Puma","24 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1766586681-41","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2395820_uploaded_image1_1593944372.jpg","Baskets Nike Air Force One","20 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1766586681-42","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2395812_uploaded_image1_1593944238.jpg","Tennis Alexander Mc Queen","24 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1766586681-43","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2395787_uploaded_image1_1593943697.jpg","Baskets Jordan 4","25 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1766586681-44","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2395602_uploaded_image1_1593940170.jpg","Mocassins daim","15 000CFA","Dakar, Sénégal"
"1766586681-45","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2395568_uploaded_image2_1593939276.jpeg","Chaussures","17 500CFA","Grand Yoff, Dakar, Sénégal"
"1766586681-46","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2395557_uploaded_image1_1593939096.jpg","Chaussures","17 000CFA","Grand Yoff, Dakar, Sénégal"
"1766586681-47","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2395547_uploaded_image1_1593938842.jpg","Chaussures","12 000CFA","Grand Yoff, Dakar, Sénégal"
"1766586681-48","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2394370_uploaded_image1_1593899826.jpg","Sandales Homme","2 000CFA","Mbour, Sénégal"
"1766586681-49","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2394357_uploaded_image1_1593899641.jpg","Sandales homme","4 000CFA","Mbour, Sénégal"
"1766586681-50","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393300_uploaded_image1_1593879737.jpg","Baskets Adidas","25 000CFA","Dakar, Sénégal"
"1766586681-51","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393291_uploaded_image1_1593879582.jpg","Chaussures Stan Smith","15 000CFA","Dakar, Sénégal"
"1766586681-52","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393276_uploaded_image1_1593879322.jpg","Baskets Nike","15 000CFA","Dakar, Sénégal"
"1766586681-53","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393270_uploaded_image1_1593879161.jpg","Chaussures Sebago","15 000CFA","Dakar, Sénégal"
"1766586681-54","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393224_uploaded_image1_1593878292.jpg","Baskets Nike Air","25 000CFA","Dakar, Sénégal"
"1766586681-55","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393222_uploaded_image1_1593878241.jpg","Baskets Nike","22 500CFA","Dakar, Sénégal"
"1766586681-56","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393208_uploaded_image1_1593877963.jpg","Baskets Nike","23 000CFA","Dakar, Sénégal"
"1766586681-57","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393202_uploaded_image1_1593877863.jpg","Baskets Nike","23 500CFA","Dakar, Sénégal"
"1766586681-58","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393200_uploaded_image1_1593877834.jpg","Baskets Nike AF 1","22 000CFA","Dakar, Sénégal"
"1766586681-59","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393197_uploaded_image1_1593877805.jpg","Baskets Adidas","20 000CFA","Dakar, Sénégal"
"1766586681-60","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393194_uploaded_image1_1593877766.jpg","Baskets Adidas","20 000CFA","Dakar, Sénégal"
"1766586681-61","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393188_uploaded_image1_1593877705.jpg","Baskets Vapor Max","20 000CFA","Dakar, Sénégal"
"1766586681-62","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393184_uploaded_image1_1593877630.jpg","Baskets Nike 270","20 000CFA","Dakar, Sénégal"
"1766586681-63","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393181_uploaded_image1_1593877584.jpg","Baskets Nike","25 000CFA","Dakar, Sénégal"
"1766586681-64","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393175_uploaded_image1_1593877476.jpg","Baskets Nike","22 000CFA","Dakar, Sénégal"
"1766586681-65","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2393172_uploaded_image1_1593877438.jpg","Baskets Nike","22 000CFA","Dakar, Sénégal"
"1766586681-66","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2392793_uploaded_image1_1593872508.jpg","Sandales Adidas","6 000CFA","Dakar, Sénégal"
"1766586681-67","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2392700_uploaded_image1_1593871388.jpg","Chaussures Reebok","Prix sur demande","Parcelle Assainies, Dakar, Sénégal"
"1766586681-68","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2392600_uploaded_image1_1593869867.jpg","Sandales hommes","6 000CFA","Dakar, Sénégal"
"1766586681-69","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2392598_uploaded_image1_1593869779.jpg","Mocassins homme","22 500CFA","Dakar, Sénégal"
"1766586681-70","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2392567_uploaded_image1_1593869100.jpg","Chaussures homme","Prix sur demande","Sicap Liberté, Dakar, Sénégal"
"1766586681-71","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2392565_uploaded_image1_1593869048.jpg","Chaussures EA7","Prix sur demande","Sicap Liberté, Dakar, Sénégal"
"1766586681-72","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2392100_uploaded_image1_1593862878.jpg","Baskets","17 000CFA","Dakar, Sénégal"
"1766586681-73","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2392094_uploaded_image1_1593862765.jpg","Baskets","25 000CFA","Dakar, Sénégal"
"1766586681-74","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2392084_uploaded_image1_1593862660.jpg","Chaussures homme","17 000CFA","Dakar, Sénégal"
"1766586681-75","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2392078_uploaded_image1_1593862580.jpg","Baskets","17 000CFA","Dakar, Sénégal"
"1766586681-76","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2390635_uploaded_image1_1593832397.jpg","Baskets Nike","18 000CFA","Grand Dakar, Dakar, Sénégal"
"1766586681-77","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2390621_uploaded_image1_1593831765.jpg","Mocassins Alden","Prix sur demande","Parcelle Assainies, Dakar, Sénégal"
"1766586681-78","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2390615_uploaded_image1_1593831676.jpg","Chaussures Nike","5 000CFA","Grand Dakar, Dakar, Sénégal"
"1766586681-79","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2390614_uploaded_image1_1593831641.jpg","Baskets Puma","18 000CFA","Grand Dakar, Dakar, Sénégal"
"1766586681-80","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2390613_uploaded_image1_1593831626.jpg","Mocassins Alden","Prix sur demande","Parcelle Assainies, Dakar, Sénégal"
"1766586681-81","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2390445_uploaded_image1_1593824610.jpg","Chaussures Versace","25 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1766586681-82","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2390260_uploaded_image1_1593820487.jpg","Chaussures homme","13 000CFA","Dakar, Sénégal"
"1766586681-83","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2390259_uploaded_image1_1593820362.jpg","Chaussures","13 000CFA","Dakar, Sénégal"
"1766586681-84","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2390257_uploaded_image2_1593820320.jpeg","Chaussures homme","13 000CFA","Dakar, Sénégal"
"1766586685-85","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2424548_uploaded_image1_1594413823.jpg","Chaussures  Sebago","15 000CFA","Dakar, Sénégal"
"1766586685-86","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2424545_uploaded_image1_1594413783.jpg","Chaussures Wallabies","25 000CFA","Dakar, Sénégal"
"1766586685-87","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2424403_uploaded_image1_1594411622.jpg","Sandales homme","Prix sur demande","Ouakam, Dakar, Sénégal"
"1766586685-88","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2423772_uploaded_image1_1594399515.jpg","Babouches hommes","Prix sur demande","Patte d'oie, Dakar, Sénégal"
"1766586685-89","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2422346_uploaded_image1_1594378268.jpg","Baskets Puma","22 000CFA","Dakar, Sénégal"
"1766586685-90","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2421891_uploaded_image1_1594372182.jpg","Baskets Nike Edge","14 500CFA","Dakar, Sénégal"
"1766586685-91","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2421008_uploaded_image1_1594339327.jpg","Chaussures homme","11 000CFA","Dakar, Sénégal"
"1766586685-92","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2421006_uploaded_image1_1594339298.jpg","Chaussures homme","11 000CFA","Dakar, Sénégal"
"1766586685-93","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2421003_uploaded_image1_1594339268.jpg","Chaussures homme","11 000CFA","Dakar, Sénégal"
"1766586685-94","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2421001_uploaded_image1_1594339238.jpg","Chaussures homme","11 000CFA","Dakar, Sénégal"
"1766586685-95","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420999_uploaded_image1_1594339209.jpg","Chaussures homme","10 000CFA","Dakar, Sénégal"
"1766586685-96","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420998_uploaded_image1_1594339177.jpg","Chaussures homme","10 000CFA","Dakar, Sénégal"
"1766586685-97","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420996_uploaded_image1_1594339142.jpg","Chaussures homme","10 000CFA","Dakar, Sénégal"
"1766586685-98","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420666_uploaded_image1_1594332675.jpg","Baskets Nike AF","22 000CFA","Dakar, Sénégal"
"1766586685-99","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420652_uploaded_image1_1594332423.jpg","Baskets Nike 270","22 000CFA","Dakar, Sénégal"
"1766586685-100","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420645_uploaded_image3_1594332308.jpeg","Baskets Nike","20 000CFA","Dakar, Sénégal"
"1766586685-101","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420613_uploaded_image1_1594331861.jpg","Chaussures Adidas","25 000CFA","Dakar, Sénégal"
"1766586685-102","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420611_uploaded_image1_1594331826.jpg","Chaussures Jordan 34","30 000CFA","Dakar, Sénégal"
"1766586685-103","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420598_uploaded_image1_1594331601.jpg","Chaussures Reebok","18 000CFA","Dakar, Sénégal"
"1766586685-104","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420588_uploaded_image1_1594331488.jpg","Chaussures Stan Smith","15 000CFA","Dakar, Sénégal"
"1766586685-105","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420585_uploaded_image1_1594331439.jpg","Baskets Jordan","30 000CFA","Dakar, Sénégal"
"1766586685-106","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420581_uploaded_image1_1594331380.jpg","Baskets Nike","22 000CFA","Dakar, Sénégal"
"1766586685-107","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420573_uploaded_image1_1594331215.jpg","Baskets Puma","20 000CFA","Dakar, Sénégal"
"1766586685-108","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420566_uploaded_image2_1594331110.jpeg","Baskets Jordan","25 000CFA","Dakar, Sénégal"
"1766586685-109","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420357_uploaded_image1_1594327824.jpg","Baskets Nike","15 000CFA","Dakar, Sénégal"
"1766586685-110","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420351_uploaded_image1_1594327748.jpg","Baskets  Nike","15 000CFA","Dakar, Sénégal"
"1766586685-111","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2420324_uploaded_image1_1594327013.jpg","Chaussures homme","Prix sur demande","Dakar, Sénégal"
"1766586685-112","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2419403_uploaded_image1_1594311380.jpg","Chaussures homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1766586685-113","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2419294_uploaded_image1_1594309990.jpg","Mocassins cuir","20 000CFA","Dakar, Sénégal"
"1766586685-114","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2419265_uploaded_image1_1594309807.jpg","Chaussures Homme J.M. Weston","22 000CFA","Dakar, Sénégal"
"1766586685-115","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2419261_uploaded_image1_1594309773.jpg","Mocassins homme","20 000CFA","Dakar, Sénégal"
"1766586685-116","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2419254_uploaded_image1_1594309729.jpg","Baskets Wallabies","25 000CFA","Dakar, Sénégal"
"1766586685-117","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2419248_uploaded_image1_1594309687.jpg","Baskets Nike","15 000CFA","Dakar, Sénégal"
"1766586685-118","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2419242_uploaded_image1_1594309655.jpg","Baskets Reebok","18 000CFA","Dakar, Sénégal"
"1766586685-119","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2419230_uploaded_image1_1594309584.jpg","Baskets Air Max","18 000CFA","Dakar, Sénégal"
"1766586685-120","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2419216_uploaded_image1_1594309446.jpg","Chaussures Nike AF","20 000CFA","Dakar, Sénégal"
"1766586685-121","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2419204_uploaded_image1_1594309352.jpg","Baskets Nike","20 000CFA","Dakar, Sénégal"
"1766586685-122","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2417730_uploaded_image1_1594290943.jpg","Chaussures homme","13 000CFA","Thiaroye Gare, Dakar, Sénégal"
"1766586685-123","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2417714_uploaded_image1_1594290831.jpg","Chaussures homme","13 000CFA","Thiaroye Gare, Dakar, Sénégal"
"1766586685-124","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2417189_uploaded_image1_1594284778.jpg","Babouches","Prix sur demande","Patte d'oie, Dakar, Sénégal"
"1766586685-125","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2416693_uploaded_image1_1594274892.jpg","Sandales Fendi","10 000CFA","Parcelle Assainies, Dakar, Sénégal"
"1766586685-126","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2416425_uploaded_image1_1594259767.jpg","Chaussures homme","5 000CFA","Dieuppeul-Derklé, Dakar, Sénégal"
"1766586685-127","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2416420_uploaded_image1_1594259557.jpg","Chaussures homme","4 000CFA","Dieuppeul-Derklé, Dakar, Sénégal"
"1766586685-128","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2415855_uploaded_image1_1594246775.jpg","Chaussures","Prix sur demande","Mbour, Sénégal"
"1766586685-129","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2415020_uploaded_image1_1594235024.jpg","Chaussures  Air Dior","20 000CFA","Grand Dakar, Dakar, Sénégal"
"1766586685-130","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2414983_uploaded_image1_1594234694.jpg","Mocassins homme","15 000CFA","Grand Dakar, Dakar, Sénégal"
"1766586685-131","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2414961_uploaded_image1_1594234380.jpg","Babouches marocaines","10 000CFA","Grand Dakar, Dakar, Sénégal"
"1766586685-132","https://sn.coinafrique.com/categorie/chaussures-homme?page=118","https://images.coinafrique.com/thumb_2413836_uploaded_image2_1594220966.jpeg","Baskets Nike Air Zoom","Prix sur demande","Dakar, Sénégal"
